episode=123, mum of sent packets=4595, num of received packets=3567, num of lost packets=1018, PDR=77.63, actual sim duration=0.80
episode=124, mum of sent packets=4616, num of received packets=3576, num of lost packets=1035, PDR=77.47, actual sim duration=0.29
episode=125, mum of sent packets=4679, num of received packets=3636, num of lost packets=1039, PDR=77.71, actual sim duration=0.30
episode=126, mum of sent packets=4554, num of received packets=3614, num of lost packets=936, PDR=79.36, actual sim duration=0.29
episode=127, mum of sent packets=4621, num of received packets=3626, num of lost packets=989, PDR=78.47, actual sim duration=0.29
episode=128, mum of sent packets=4453, num of received packets=3516, num of lost packets=931, PDR=78.96, actual sim duration=0.29
episode=129, mum of sent packets=4623, num of received packets=3589, num of lost packets=1031, PDR=77.63, actual sim duration=0.32
episode=130, mum of sent packets=4568, num of received packets=3531, num of lost packets=1033, PDR=77.30, actual sim duration=0.32
episode=131, mum of sent packets=4544, num of received packets=3605, num of lost packets=933, PDR=79.34, actual sim duration=0.29
episode=132, mum of sent packets=4576, num of received packets=3598, num of lost packets=975, PDR=78.63, actual sim duration=0.29
episode=133, mum of sent packets=4508, num of received packets=3598, num of lost packets=908, PDR=79.81, actual sim duration=0.28
episode=134, mum of sent packets=4591, num of received packets=3620, num of lost packets=968, PDR=78.85, actual sim duration=0.29
episode=135, mum of sent packets=4463, num of received packets=3527, num of lost packets=930, PDR=79.03, actual sim duration=0.28
episode=136, mum of sent packets=4546, num of received packets=3562, num of lost packets=977, PDR=78.35, actual sim duration=0.28
episode=137, mum of sent packets=4678, num of received packets=3676, num of lost packets=997, PDR=78.58, actual sim duration=0.29
episode=138, mum of sent packets=4591, num of received packets=3587, num of lost packets=1003, PDR=78.13, actual sim duration=0.29
episode=139, mum of sent packets=4414, num of received packets=3486, num of lost packets=917, PDR=78.98, actual sim duration=0.27
episode=140, mum of sent packets=4537, num of received packets=3593, num of lost packets=936, PDR=79.19, actual sim duration=0.29
episode=141, mum of sent packets=4526, num of received packets=3607, num of lost packets=914, PDR=79.70, actual sim duration=0.28
episode=142, mum of sent packets=4607, num of received packets=3566, num of lost packets=1034, PDR=77.40, actual sim duration=0.30
episode=143, mum of sent packets=4539, num of received packets=3568, num of lost packets=965, PDR=78.61, actual sim duration=0.29
episode=144, mum of sent packets=4582, num of received packets=3653, num of lost packets=926, PDR=79.73, actual sim duration=0.29
episode=145, mum of sent packets=4432, num of received packets=3489, num of lost packets=940, PDR=78.72, actual sim duration=0.28
episode=146, mum of sent packets=4551, num of received packets=3575, num of lost packets=972, PDR=78.55, actual sim duration=0.30
episode=147, mum of sent packets=4538, num of received packets=3546, num of lost packets=987, PDR=78.14, actual sim duration=0.29
episode=148, mum of sent packets=4504, num of received packets=3529, num of lost packets=970, PDR=78.35, actual sim duration=0.28
episode=149, mum of sent packets=4546, num of received packets=3528, num of lost packets=1009, PDR=77.61, actual sim duration=0.29
episode=150, mum of sent packets=4675, num of received packets=3651, num of lost packets=1020, PDR=78.10, actual sim duration=0.29
episode=151, mum of sent packets=4568, num of received packets=3561, num of lost packets=1003, PDR=77.96, actual sim duration=0.29
episode=152, mum of sent packets=4661, num of received packets=3615, num of lost packets=1043, PDR=77.56, actual sim duration=0.29
episode=153, mum of sent packets=4646, num of received packets=3666, num of lost packets=976, PDR=78.91, actual sim duration=0.29
episode=154, mum of sent packets=4627, num of received packets=3616, num of lost packets=1006, PDR=78.15, actual sim duration=0.29
episode=155, mum of sent packets=4427, num of received packets=3471, num of lost packets=952, PDR=78.41, actual sim duration=0.27
episode=156, mum of sent packets=4606, num of received packets=3614, num of lost packets=990, PDR=78.46, actual sim duration=0.29
episode=157, mum of sent packets=4604, num of received packets=3632, num of lost packets=967, PDR=78.89, actual sim duration=0.76
episode=158, mum of sent packets=4602, num of received packets=3663, num of lost packets=937, PDR=79.60, actual sim duration=0.30
episode=159, mum of sent packets=4683, num of received packets=3645, num of lost packets=1035, PDR=77.83, actual sim duration=0.30
episode=160, mum of sent packets=4645, num of received packets=3614, num of lost packets=1027, PDR=77.80, actual sim duration=0.29
episode=161, mum of sent packets=4608, num of received packets=3642, num of lost packets=958, PDR=79.04, actual sim duration=0.30
episode=162, mum of sent packets=4578, num of received packets=3573, num of lost packets=1001, PDR=78.05, actual sim duration=0.30
episode=163, mum of sent packets=4461, num of received packets=3548, num of lost packets=911, PDR=79.53, actual sim duration=0.29
episode=164, mum of sent packets=4541, num of received packets=3568, num of lost packets=971, PDR=78.57, actual sim duration=0.28
episode=165, mum of sent packets=4512, num of received packets=3542, num of lost packets=966, PDR=78.50, actual sim duration=0.29
episode=166, mum of sent packets=4526, num of received packets=3599, num of lost packets=922, PDR=79.52, actual sim duration=0.28
episode=167, mum of sent packets=4507, num of received packets=3538, num of lost packets=963, PDR=78.50, actual sim duration=0.28
episode=168, mum of sent packets=4566, num of received packets=3595, num of lost packets=965, PDR=78.73, actual sim duration=0.28
episode=169, mum of sent packets=4535, num of received packets=3535, num of lost packets=992, PDR=77.95, actual sim duration=0.28
episode=170, mum of sent packets=4549, num of received packets=3617, num of lost packets=928, PDR=79.51, actual sim duration=0.29
episode=171, mum of sent packets=4606, num of received packets=3604, num of lost packets=1000, PDR=78.25, actual sim duration=0.29
episode=172, mum of sent packets=4618, num of received packets=3604, num of lost packets=1013, PDR=78.04, actual sim duration=0.29
episode=173, mum of sent packets=4672, num of received packets=3634, num of lost packets=1035, PDR=77.78, actual sim duration=0.29
episode=174, mum of sent packets=4584, num of received packets=3610, num of lost packets=969, PDR=78.75, actual sim duration=0.29
episode=175, mum of sent packets=4544, num of received packets=3561, num of lost packets=980, PDR=78.37, actual sim duration=0.29
episode=176, mum of sent packets=4567, num of received packets=3594, num of lost packets=966, PDR=78.69, actual sim duration=0.29
episode=177, mum of sent packets=4700, num of received packets=3644, num of lost packets=1048, PDR=77.53, actual sim duration=0.31
episode=178, mum of sent packets=4571, num of received packets=3582, num of lost packets=985, PDR=78.36, actual sim duration=0.29
episode=179, mum of sent packets=4608, num of received packets=3662, num of lost packets=941, PDR=79.47, actual sim duration=0.30
episode=180, mum of sent packets=4674, num of received packets=3644, num of lost packets=1024, PDR=77.96, actual sim duration=0.30
episode=181, mum of sent packets=4575, num of received packets=3617, num of lost packets=954, PDR=79.06, actual sim duration=0.28
episode=182, mum of sent packets=4504, num of received packets=3551, num of lost packets=950, PDR=78.84, actual sim duration=0.29
episode=183, mum of sent packets=4505, num of received packets=3570, num of lost packets=932, PDR=79.25, actual sim duration=0.28
episode=184, mum of sent packets=4521, num of received packets=3515, num of lost packets=1005, PDR=77.75, actual sim duration=0.28
episode=185, mum of sent packets=4486, num of received packets=3525, num of lost packets=957, PDR=78.58, actual sim duration=0.28
