episode=137, mum of sent packets=14086, num of received packets=8864, num of lost packets=5220, PDR=62.93, actual sim duration=1.22
episode=138, mum of sent packets=14057, num of received packets=8908, num of lost packets=5147, PDR=63.37, actual sim duration=1.23
episode=139, mum of sent packets=13925, num of received packets=8881, num of lost packets=5042, PDR=63.78, actual sim duration=2.53
episode=140, mum of sent packets=14008, num of received packets=8796, num of lost packets=5209, PDR=62.79, actual sim duration=1.22
episode=141, mum of sent packets=14001, num of received packets=8874, num of lost packets=5123, PDR=63.38, actual sim duration=1.23
episode=142, mum of sent packets=13906, num of received packets=8767, num of lost packets=5137, PDR=63.04, actual sim duration=1.22
episode=143, mum of sent packets=13884, num of received packets=8918, num of lost packets=4963, PDR=64.23, actual sim duration=1.20
episode=144, mum of sent packets=13967, num of received packets=8897, num of lost packets=5064, PDR=63.70, actual sim duration=1.21
episode=145, mum of sent packets=13860, num of received packets=8704, num of lost packets=5150, PDR=62.80, actual sim duration=1.20
episode=146, mum of sent packets=13927, num of received packets=8759, num of lost packets=5164, PDR=62.89, actual sim duration=1.27
episode=147, mum of sent packets=13769, num of received packets=8688, num of lost packets=5075, PDR=63.10, actual sim duration=1.20
episode=148, mum of sent packets=13911, num of received packets=8906, num of lost packets=4998, PDR=64.02, actual sim duration=1.21
episode=149, mum of sent packets=13910, num of received packets=8809, num of lost packets=5099, PDR=63.33, actual sim duration=1.21
episode=150, mum of sent packets=14072, num of received packets=8927, num of lost packets=5143, PDR=63.44, actual sim duration=1.25
episode=151, mum of sent packets=13918, num of received packets=8852, num of lost packets=5063, PDR=63.60, actual sim duration=1.22
episode=152, mum of sent packets=13877, num of received packets=8843, num of lost packets=5030, PDR=63.72, actual sim duration=1.22
episode=153, mum of sent packets=13923, num of received packets=8795, num of lost packets=5124, PDR=63.17, actual sim duration=1.22
episode=154, mum of sent packets=13946, num of received packets=8784, num of lost packets=5157, PDR=62.99, actual sim duration=1.23
episode=155, mum of sent packets=14051, num of received packets=8912, num of lost packets=5134, PDR=63.43, actual sim duration=1.25
episode=156, mum of sent packets=13976, num of received packets=8859, num of lost packets=5113, PDR=63.39, actual sim duration=1.22
episode=157, mum of sent packets=14122, num of received packets=8968, num of lost packets=5152, PDR=63.50, actual sim duration=1.24
episode=158, mum of sent packets=13848, num of received packets=8785, num of lost packets=5058, PDR=63.44, actual sim duration=1.22
episode=159, mum of sent packets=13815, num of received packets=8694, num of lost packets=5114, PDR=62.93, actual sim duration=1.23
episode=160, mum of sent packets=14165, num of received packets=9035, num of lost packets=5124, PDR=63.78, actual sim duration=1.24
episode=161, mum of sent packets=14026, num of received packets=8918, num of lost packets=5102, PDR=63.58, actual sim duration=1.22
episode=162, mum of sent packets=13770, num of received packets=8754, num of lost packets=5014, PDR=63.57, actual sim duration=1.20
episode=163, mum of sent packets=13946, num of received packets=8847, num of lost packets=5096, PDR=63.44, actual sim duration=1.22
episode=164, mum of sent packets=13822, num of received packets=8850, num of lost packets=4969, PDR=64.03, actual sim duration=1.21
episode=165, mum of sent packets=13794, num of received packets=8841, num of lost packets=4952, PDR=64.09, actual sim duration=1.20
episode=166, mum of sent packets=13916, num of received packets=8812, num of lost packets=5103, PDR=63.32, actual sim duration=1.23
episode=167, mum of sent packets=14130, num of received packets=8933, num of lost packets=5196, PDR=63.22, actual sim duration=1.25
episode=168, mum of sent packets=13948, num of received packets=8738, num of lost packets=5204, PDR=62.65, actual sim duration=1.23
episode=169, mum of sent packets=13891, num of received packets=8831, num of lost packets=5057, PDR=63.57, actual sim duration=1.21
episode=170, mum of sent packets=13935, num of received packets=8855, num of lost packets=5076, PDR=63.55, actual sim duration=1.22
episode=171, mum of sent packets=13867, num of received packets=8813, num of lost packets=5050, PDR=63.55, actual sim duration=1.23
episode=172, mum of sent packets=14092, num of received packets=9036, num of lost packets=5052, PDR=64.12, actual sim duration=1.24
episode=173, mum of sent packets=13918, num of received packets=8704, num of lost packets=5211, PDR=62.54, actual sim duration=3.05
episode=174, mum of sent packets=13879, num of received packets=8929, num of lost packets=4946, PDR=64.33, actual sim duration=1.24
episode=175, mum of sent packets=14117, num of received packets=8877, num of lost packets=5232, PDR=62.88, actual sim duration=1.25
episode=176, mum of sent packets=13735, num of received packets=8771, num of lost packets=4962, PDR=63.86, actual sim duration=1.21
episode=177, mum of sent packets=14031, num of received packets=8741, num of lost packets=5285, PDR=62.30, actual sim duration=1.28
episode=178, mum of sent packets=13861, num of received packets=8858, num of lost packets=4999, PDR=63.91, actual sim duration=1.23
episode=179, mum of sent packets=13919, num of received packets=8770, num of lost packets=5142, PDR=63.01, actual sim duration=1.23
episode=180, mum of sent packets=13925, num of received packets=8752, num of lost packets=5171, PDR=62.85, actual sim duration=1.21
episode=181, mum of sent packets=13945, num of received packets=8850, num of lost packets=5090, PDR=63.46, actual sim duration=1.24
episode=182, mum of sent packets=13962, num of received packets=8820, num of lost packets=5141, PDR=63.17, actual sim duration=1.25
episode=183, mum of sent packets=14008, num of received packets=8850, num of lost packets=5156, PDR=63.18, actual sim duration=1.22
episode=184, mum of sent packets=13814, num of received packets=8861, num of lost packets=4952, PDR=64.15, actual sim duration=1.19
episode=185, mum of sent packets=13988, num of received packets=8885, num of lost packets=5099, PDR=63.52, actual sim duration=1.22
episode=186, mum of sent packets=13853, num of received packets=8761, num of lost packets=5086, PDR=63.24, actual sim duration=1.22
