episode=118, mum of sent packets=14440, num of received packets=9959, num of lost packets=4478, PDR=68.97, actual sim duration=1.02, parameter update time=0.00
episode=119, mum of sent packets=14462, num of received packets=9880, num of lost packets=4580, PDR=68.32, actual sim duration=1.02, parameter update time=0.00
episode=120, mum of sent packets=14128, num of received packets=9662, num of lost packets=4465, PDR=68.39, actual sim duration=1.02, parameter update time=0.00
episode=121, mum of sent packets=14218, num of received packets=9736, num of lost packets=4479, PDR=68.48, actual sim duration=1.02, parameter update time=0.00
episode=122, mum of sent packets=14187, num of received packets=9735, num of lost packets=4450, PDR=68.62, actual sim duration=1.02, parameter update time=0.00
episode=123, mum of sent packets=14188, num of received packets=9678, num of lost packets=4507, PDR=68.21, actual sim duration=1.02, parameter update time=0.00
episode=124, mum of sent packets=14387, num of received packets=9900, num of lost packets=4485, PDR=68.81, actual sim duration=1.03, parameter update time=0.00
episode=125, mum of sent packets=14084, num of received packets=9632, num of lost packets=4447, PDR=68.39, actual sim duration=1.01, parameter update time=0.00
episode=126, mum of sent packets=14103, num of received packets=9558, num of lost packets=4539, PDR=67.77, actual sim duration=1.01, parameter update time=0.00
episode=127, mum of sent packets=14215, num of received packets=9641, num of lost packets=4572, PDR=67.82, actual sim duration=1.02, parameter update time=0.00
episode=128, mum of sent packets=14284, num of received packets=9799, num of lost packets=4483, PDR=68.60, actual sim duration=1.02, parameter update time=0.00
episode=129, mum of sent packets=14286, num of received packets=9749, num of lost packets=4537, PDR=68.24, actual sim duration=1.02, parameter update time=0.00
episode=130, mum of sent packets=14442, num of received packets=9826, num of lost packets=4613, PDR=68.04, actual sim duration=1.04, parameter update time=0.00
episode=131, mum of sent packets=14032, num of received packets=9481, num of lost packets=4550, PDR=67.57, actual sim duration=1.00, parameter update time=0.00
episode=132, mum of sent packets=14255, num of received packets=9671, num of lost packets=4582, PDR=67.84, actual sim duration=1.02, parameter update time=0.00
episode=133, mum of sent packets=14222, num of received packets=9625, num of lost packets=4593, PDR=67.68, actual sim duration=1.02, parameter update time=0.00
episode=134, mum of sent packets=14361, num of received packets=9792, num of lost packets=4566, PDR=68.18, actual sim duration=1.03, parameter update time=0.00
episode=135, mum of sent packets=14341, num of received packets=9830, num of lost packets=4508, PDR=68.54, actual sim duration=2.29, parameter update time=0.00
episode=136, mum of sent packets=14235, num of received packets=9681, num of lost packets=4551, PDR=68.01, actual sim duration=0.99, parameter update time=0.00
episode=137, mum of sent packets=14434, num of received packets=9735, num of lost packets=4697, PDR=67.44, actual sim duration=1.01, parameter update time=0.00
episode=138, mum of sent packets=14096, num of received packets=9743, num of lost packets=4351, PDR=69.12, actual sim duration=0.99, parameter update time=0.00
episode=139, mum of sent packets=14106, num of received packets=9741, num of lost packets=4361, PDR=69.06, actual sim duration=0.99, parameter update time=0.00
episode=140, mum of sent packets=14208, num of received packets=9720, num of lost packets=4484, PDR=68.41, actual sim duration=1.00, parameter update time=0.00
episode=141, mum of sent packets=14354, num of received packets=9841, num of lost packets=4512, PDR=68.56, actual sim duration=1.01, parameter update time=0.00
episode=142, mum of sent packets=14366, num of received packets=9909, num of lost packets=4454, PDR=68.98, actual sim duration=1.01, parameter update time=0.00
episode=143, mum of sent packets=14285, num of received packets=9814, num of lost packets=4470, PDR=68.70, actual sim duration=1.00, parameter update time=0.00
episode=144, mum of sent packets=14349, num of received packets=9928, num of lost packets=4419, PDR=69.19, actual sim duration=1.01, parameter update time=0.00
episode=145, mum of sent packets=14336, num of received packets=9967, num of lost packets=4368, PDR=69.52, actual sim duration=1.01, parameter update time=0.00
episode=146, mum of sent packets=14496, num of received packets=10038, num of lost packets=4457, PDR=69.25, actual sim duration=1.03, parameter update time=0.00
episode=147, mum of sent packets=14218, num of received packets=9848, num of lost packets=4367, PDR=69.26, actual sim duration=1.00, parameter update time=0.00
episode=148, mum of sent packets=14190, num of received packets=9759, num of lost packets=4428, PDR=68.77, actual sim duration=1.00, parameter update time=0.00
episode=149, mum of sent packets=14303, num of received packets=9860, num of lost packets=4439, PDR=68.94, actual sim duration=1.00, parameter update time=0.00
episode=150, mum of sent packets=14277, num of received packets=9780, num of lost packets=4497, PDR=68.50, actual sim duration=1.00, parameter update time=0.00
episode=151, mum of sent packets=14185, num of received packets=9711, num of lost packets=4472, PDR=68.46, actual sim duration=0.99, parameter update time=0.00
episode=152, mum of sent packets=14352, num of received packets=9842, num of lost packets=4507, PDR=68.58, actual sim duration=1.00, parameter update time=0.00
episode=153, mum of sent packets=14245, num of received packets=9778, num of lost packets=4464, PDR=68.64, actual sim duration=1.00, parameter update time=0.00
episode=154, mum of sent packets=14501, num of received packets=10105, num of lost packets=4393, PDR=69.68, actual sim duration=1.01, parameter update time=0.00
episode=155, mum of sent packets=14288, num of received packets=9804, num of lost packets=4480, PDR=68.62, actual sim duration=1.00, parameter update time=0.00
episode=156, mum of sent packets=14461, num of received packets=9860, num of lost packets=4599, PDR=68.18, actual sim duration=1.01, parameter update time=0.00
episode=157, mum of sent packets=14394, num of received packets=10014, num of lost packets=4377, PDR=69.57, actual sim duration=1.01, parameter update time=0.00
episode=158, mum of sent packets=14217, num of received packets=9737, num of lost packets=4479, PDR=68.49, actual sim duration=1.00, parameter update time=0.00
episode=159, mum of sent packets=14373, num of received packets=10041, num of lost packets=4329, PDR=69.86, actual sim duration=1.01, parameter update time=0.00
episode=160, mum of sent packets=14440, num of received packets=9838, num of lost packets=4599, PDR=68.13, actual sim duration=1.01, parameter update time=0.00
episode=161, mum of sent packets=14248, num of received packets=9758, num of lost packets=4489, PDR=68.49, actual sim duration=1.00, parameter update time=0.00
episode=162, mum of sent packets=14384, num of received packets=10016, num of lost packets=4366, PDR=69.63, actual sim duration=1.02, parameter update time=0.00
episode=163, mum of sent packets=14233, num of received packets=9945, num of lost packets=4287, PDR=69.87, actual sim duration=1.03, parameter update time=0.00
episode=164, mum of sent packets=14356, num of received packets=9974, num of lost packets=4380, PDR=69.48, actual sim duration=1.04, parameter update time=0.00
episode=165, mum of sent packets=14141, num of received packets=9779, num of lost packets=4360, PDR=69.15, actual sim duration=1.02, parameter update time=0.00
episode=166, mum of sent packets=14215, num of received packets=9863, num of lost packets=4350, PDR=69.38, actual sim duration=1.03, parameter update time=0.00
episode=167, mum of sent packets=14297, num of received packets=9905, num of lost packets=4391, PDR=69.28, actual sim duration=1.04, parameter update time=0.00
episode=168, mum of sent packets=14186, num of received packets=9796, num of lost packets=4386, PDR=69.05, actual sim duration=1.03, parameter update time=0.00
episode=169, mum of sent packets=14187, num of received packets=9816, num of lost packets=4370, PDR=69.19, actual sim duration=2.48, parameter update time=0.00
episode=170, mum of sent packets=14330, num of received packets=9974, num of lost packets=4352, PDR=69.60, actual sim duration=1.04, parameter update time=0.00
episode=171, mum of sent packets=14211, num of received packets=9851, num of lost packets=4359, PDR=69.32, actual sim duration=1.03, parameter update time=0.00
episode=172, mum of sent packets=14331, num of received packets=9825, num of lost packets=4505, PDR=68.56, actual sim duration=1.03, parameter update time=0.00
episode=173, mum of sent packets=14418, num of received packets=10005, num of lost packets=4410, PDR=69.39, actual sim duration=1.04, parameter update time=0.00
episode=174, mum of sent packets=14251, num of received packets=9978, num of lost packets=4273, PDR=70.02, actual sim duration=1.02, parameter update time=0.00
episode=175, mum of sent packets=14252, num of received packets=9743, num of lost packets=4508, PDR=68.36, actual sim duration=1.02, parameter update time=0.00
episode=176, mum of sent packets=14185, num of received packets=9854, num of lost packets=4325, PDR=69.47, actual sim duration=1.02, parameter update time=0.00
episode=177, mum of sent packets=14160, num of received packets=9751, num of lost packets=4405, PDR=68.86, actual sim duration=1.02, parameter update time=0.00
episode=178, mum of sent packets=14192, num of received packets=9870, num of lost packets=4319, PDR=69.55, actual sim duration=1.02, parameter update time=0.00
episode=179, mum of sent packets=14541, num of received packets=9957, num of lost packets=4581, PDR=68.48, actual sim duration=1.05, parameter update time=0.00
episode=180, mum of sent packets=14389, num of received packets=9852, num of lost packets=4534, PDR=68.47, actual sim duration=1.04, parameter update time=0.00
episode=181, mum of sent packets=14174, num of received packets=9785, num of lost packets=4385, PDR=69.03, actual sim duration=1.02, parameter update time=0.00
episode=182, mum of sent packets=14431, num of received packets=9932, num of lost packets=4495, PDR=68.82, actual sim duration=1.04, parameter update time=0.00
episode=183, mum of sent packets=14359, num of received packets=9879, num of lost packets=4478, PDR=68.80, actual sim duration=1.03, parameter update time=0.00
episode=184, mum of sent packets=14362, num of received packets=9895, num of lost packets=4463, PDR=68.90, actual sim duration=1.03, parameter update time=0.00
episode=185, mum of sent packets=14308, num of received packets=9889, num of lost packets=4417, PDR=69.12, actual sim duration=1.03, parameter update time=0.00
episode=186, mum of sent packets=14241, num of received packets=9837, num of lost packets=4402, PDR=69.08, actual sim duration=1.02, parameter update time=0.00
episode=187, mum of sent packets=14140, num of received packets=9790, num of lost packets=4349, PDR=69.24, actual sim duration=1.02, parameter update time=0.00
episode=188, mum of sent packets=14182, num of received packets=9814, num of lost packets=4366, PDR=69.20, actual sim duration=1.02, parameter update time=0.00
episode=189, mum of sent packets=14221, num of received packets=9795, num of lost packets=4425, PDR=68.88, actual sim duration=1.02, parameter update time=0.00
episode=190, mum of sent packets=14378, num of received packets=9909, num of lost packets=4464, PDR=68.92, actual sim duration=1.03, parameter update time=0.00
episode=191, mum of sent packets=14558, num of received packets=9934, num of lost packets=4620, PDR=68.24, actual sim duration=1.04, parameter update time=0.00
episode=192, mum of sent packets=14293, num of received packets=9852, num of lost packets=4438, PDR=68.93, actual sim duration=1.03, parameter update time=0.00
episode=193, mum of sent packets=14313, num of received packets=9767, num of lost packets=4545, PDR=68.24, actual sim duration=1.03, parameter update time=0.00
episode=194, mum of sent packets=14413, num of received packets=9959, num of lost packets=4450, PDR=69.10, actual sim duration=1.03, parameter update time=0.00
